Index,Citation
1,"K. G. Larsen, ""On Range Searching in the Group Model and Combinatorial Discrepancy,"" SIAM Journal on Computing, vol. 43, no. 2, pp. 673–686, 2014. [Online]. Available: https://epubs.siam.org/doi/10.1137/120865240"
2,"P. K. Agarwal, J. Matoušek, and M. Sharir, ""On Range Searching with Semialgebraic Sets. II,"" SIAM Journal on Computing, vol. 42, no. 6, pp. 2039–2062, 2013. [Online]. Available: https://epubs.siam.org/doi/10.1137/120890855"
3,"C.-W. Mortensen, ""Fully Dynamic Orthogonal Range Reporting on RAM,"" SIAM Journal on Computing, vol. 35, no. 5, pp. 1268–1303, 2006. [Online]. Available: https://epubs.siam.org/doi/10.1137/S0097539703436722"
4,"Y. A. Malkov and D. A. Yashunin, ""Efficient and Robust Approximate Nearest Neighbor Search Using Hierarchical Navigable Small World Graphs,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 42, no. 4, pp. 824-836, Apr. 2020. [Online]. Available: https://ieeexplore.ieee.org/document/8594636"
5,"Q. Liao, S. Li, and X. Hu, ""Point Set Registration for 3D Range Scans Using Fuzzy Correspondences,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 42, no. 9, pp. 2167-2180, Sept. 2020. [Online]. Available: https://ieeexplore.ieee.org/document/9026868"
6,"R. Yao, J. Liu, and H. Li, ""Hunter: Exploring High-Order Consistency for Point Cloud Registration,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 45, no. 12, pp. 14760-14776, Dec. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10246849"
7,"W. Choi, C. Shim, I. Yun, and H. Shin, ""Scalable Algorithms for Maximizing Spatiotemporal Range Queries,"" Electronics, vol. 9, no. 3, p. 514, 2020. [Online]. Available: https://www.mdpi.com/2079-9292/9/3/514"
8,"V. Plevris, G. Kalivas, and I. Andreadou, ""Pure Random Orthogonal Search (PROS): A Plain and Efficient Method for Global Optimization,"" Applied Sciences, vol. 11, no. 11, p. 5053, 2021. [Online]. Available: https://www.mdpi.com/2076-3417/11/11/5053"
9,"H. Wang, ""Unit-Disk Range Searching and Applications,"" in Proc. 18th Scandinavian Workshop on Algorithm Theory (SWAT), 2022. Available: https://arxiv.org/abs/2204.08992"
10,"T. M. Chan, Q. He, and Y. Nekrich, ""Further Results on Colored Range Searching,"" arXiv preprint arXiv:2003.11604, 2020. Available: https://arxiv.org/abs/2003.11604"
11,"P. Afshani, P. Cheng, A. B. Roy, and Z. Wei, ""On Range Summary Queries,"" to appear in Proc. 50th International Colloquium on Automata, Languages, and Programming (ICALP), 2023. Available: https://arxiv.org/abs/2305.03180"
12,"B. Moseley, J. Wang, and M. Wang, ""Average Linkage, Bisecting K-means, and Local Search,"" Journal of Machine Learning Research, vol. 24, no. 1, pp. 1-39, 2023. [Online]. Available: https://www.jmlr.org/papers/volume24/18-080/18-080.pdf"
13,"S. Klepper, C. Heuss, S. L. Campêlo, and S. Hildebrandt, ""Clustering with Tangles: Algorithmic Framework and Guarantees,"" Journal of Machine Learning Research, vol. 24, no. 1, pp. 1-55, 2023. [Online]. Available: https://www.jmlr.org/papers/volume24/21-1160/21-1160.pdf"
14,"Y. Huang, M. Chen, and T. Li, ""Incorporating domain ontology information into clustering heterogeneous networks,"" WIREs Data Mining and Knowledge Discovery, vol. 11, no. 3, e1413, 2021. [Online]. Available: https://wires.onlinelibrary.wiley.com/doi/10.1002/widm.1413"
15,"T. Ullmann, S. Schubert, and A. Seidl, ""Validation of cluster analysis results on validation data: A formal framework,"" WIREs Data Mining and Knowledge Discovery, vol. 12, no. 1, e1444, 2022. [Online]. Available: https://wires.onlinelibrary.wiley.com/doi/10.1002/widm.1444"
16,"T. H. Sardar, M. A. Saleh, and I. Atoum, ""Reflecting on a decade of evolution: MapReduce‐based clustering of big data,"" WIREs Data Mining and Knowledge Discovery, vol. 14, no. 1, e1566, 2024. [Online]. Available: https://wires.onlinelibrary.wiley.com/doi/10.1002/widm.1566"
17,"N. E. Garcia-Pedrajas and G. Cerruela-García, ""PYRAMID: A label hierarchical clustering approach for multilabel classification,"" Machine Learning: Science and Technology, vol. 6, no. 3, article 035013, 2025. [Online]. Available: https://doi.org/10.1088/2632-2153/adde0e"
18,"C. N. Melton, S. L. Johnson, N. C. Plumb, M. Radovic, M. Hashimoto, P. D. C. King, and D. F. McMorrow, ""K-means-driven Gaussian Process data collection for angle-resolved photoemission spectroscopy,"" Machine Learning: Science and Technology, vol. 1, no. 4, article 045015, 2020. [Online]. Available: https://doi.org/10.1088/2632-2153/abab61"
19,"M. Ho, X. Zhao, and B. D. Wandelt, ""Ordered embeddings and intrinsic dimensionalities with information-ordered bottlenecks,"" Machine Learning: Science and Technology, vol. 6, no. 3, article 035008, 2025. [Online]. Available: https://doi.org/10.1088/2632-2153/ade94d"
20,"W. Cai, F. Yang, B. Yao, C. Li, and G. Sun, ""An adaptive k-means clustering algorithm based on grid and domain centroid weights for digital twins in the context of digital transformation,"" J. Big Data, vol. 12, art. no. 130, 2025. [Online]. Available: https://doi.org/10.1186/s40537-025-01180-z"
21,"S. Sieranoja and P. Fränti, ""Fast agglomerative clustering using approximate traveling salesman solutions,"" J. Big Data, vol. 12, art. no. 21, 2025. [Online]. Available: https://doi.org/10.1186/s40537-024-01053-x"
22,"R. Haripriya, N. Khare, M. Pandey, and S. Biswas, ""Decentralized big data mining: federated learning for clustering youth tobacco use in India,"" J. Big Data, vol. 11, art. no. 179, 2024. [Online]. Available: https://doi.org/10.1186/s40537-024-01042-0"
23,"J. Paparrizos, F. Yang, and H. Li, ""Bridging the Gap: A Decade Review of Time-Series Clustering Methods,"" arXiv preprint arXiv:2412.20582, Dec. 2024. [Online]. Available: https://arxiv.org/abs/2412.20582"
24,"Zimeng Zhou, Chenyun Yu, Sarana Nutanong, Yufei Cui, Chenchen Fu, Chun Jason Xue, ""A Hardware-Accelerated Solution for Hierarchical Index-Based Merge-Join,"" IEEE Transactions on Knowledge and Data Engineering, vol. 31, no. 1, pp. 91-104, Jan. 2019. doi: 10.1109/TKDE.2018.2833615. [Online]. Available: https://ieeexplore.ieee.org/document/8317091"
25,"Chaoyue Niu, Zhenzhe Zheng, Fan Wu, Xiaofeng Gao, Guihai Chen, ""Achieving Data Truthfulness and Privacy Preservation in Data Markets,"" IEEE Transactions on Knowledge and Data Engineering, vol. 31, no. 1, pp. 105-119, Jan. 2019. doi:10.1109/TKDE.2018.2850348. [Online]. Available: https://ieeexplore.ieee.org/document/8321498"
26,"G. Cong, W. You, and J. Gehrke, ""Machine Learning for Databases: Foundations, Paradigms, and Future Directions,"" ACM Trans. Database Syst., vol. 48, no. 1, pp. 1–45, 2024. [Online]. Available: https://dl.acm.org/doi/pdf/10.1145/3626246.3654686"
27,"K. Huang, J. Zhang, J. Li, and W. Chen, ""The Past, Present and Future of Indexing on Persistent Memory,"" ACM Trans. Database Syst., vol. 48, no. 1, pp. 2:1–2:35, 2023. [Online]. Available: https://dl.acm.org/doi/pdf/10.14778/3554821.3554897"
28,"Y. Zhang, H. Tang, and S. Chen, ""Longshot: Indexing Growing Databases using MPC and Differential Privacy,"" ACM Trans. Database Syst., vol. 47, no. 4, pp. 46:1–46:30, 2022. [Online]. Available: https://dl.acm.org/doi/pdf/10.14778/3594512.3594529"
29,"G. Wu, “A case study for Adaptive Radix Tree index,” Information Systems, vol. 104, no. C, pp. 101–113, 2022. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S0306437921001228"
30,"N. Bahri, “On indexing evidential data,” Information Systems, vol. 84, pp. 1–14, 2019. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0888613X18303566"
31,"J. M. Medina, J. F. Nieves, and J. A. Pulido, “Indexing techniques to improve the performance of database systems: Overview and current trends,” Information Systems, vol. 72, pp. 42–56, 2018. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S030643791830097X"
32,"A. Sharma, S. Hajj, and B. Bhuyan, ""PalmHashNet: Palmprint Hashing Network for Indexing Large Databases to Boost Identification,"" IEEE Access, vol. 9, pp. 43522-43534, 2021. [Online]. Available: https://ieeexplore.ieee.org/document/9585462/"
33,"G. P. Licks and F. Meneguzzi, ""Automated Database Indexing using Model-free Reinforcement Learning,"" arXiv preprint arXiv:2007.14244, Jul. 2020. [Online]. Available: https://arxiv.org/abs/2007.14244"
34,"A. Al-Mamun, H. Wu, Q. He, J. Wang, and W. G. Aref, ""A Survey of Learned Indexes for the Multi-dimensional Space,"" arXiv preprint arXiv:2403.06456, Mar. 2024. [Online]. Available: https://arxiv.org/abs/2403.06456"
35,"S. Nakazono, Y. Bessho, H. Kawashima, and T. Nakamori, ""Griffin: Fast Transactional Database Index with Hash and B+-Tree,"" arXiv preprint arXiv:2407.13294, Jul. 2024. [Online]. Available: https://arxiv.org/abs/2407.13294"
